,winner,nb_sets,game_1_score,game_2_score,game_3_score,team_one_players,team_two_players,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores,team_one_game_1_points,team_two_game_1_points,team_one_game_2_points,team_two_game_2_points,team_one_game_3_points,team_two_game_3_points,game_1_winner,game_2_winner,game_3_winner,game_1_interval_score,game_2_interval_score,game_3_interval_score,game_1_interval_winner,game_2_interval_winner,game_3_interval_winner
10,1,2,21-12,21-12,0-0,"Tsz Kit Chan, Yonny Chung","Minh Bao, Minh Bao",9,2,3,0,5,2,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '15-10', '15-11', '16-11', '17-11', '18-11', '19-11', '19-12', '20-12', '21-12']",9.0,2.0,2.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '11-4', '12-4', '12-5', '13-5', '14-5', '14-6', '14-7', '15-7', '15-8', '16-8', '16-9', '16-10', '17-10', '18-10', '18-11', '19-11', '20-11', '20-12', '21-12']",0.0,0.0,0.0,0.0,[],21,12,21,12,0,0,1,1,2,11-6,11-3,0-0,1,1,0
11,1,3,22-20,26-28,21-16,"Jason Anthony Ho-Shue, Nyl Yakura","Rizky Kurniawan, Rizky Kurniawan",6,4,4,9,4,2,1,2,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '8-6', '9-6', '9-7', '10-7', '10-8', '10-9', '11-9', '11-10', '11-11', '12-11', '12-12', '12-13', '13-13', '14-13', '14-14', '14-15', '15-15', '15-16', '16-16', '17-16', '17-17', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '21-20', '22-20']",4.0,4.0,1.0,7.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '6-5', '6-6', '6-7', '7-7', '7-8', '7-9', '8-9', '9-9', '9-10', '9-11', '10-11', '11-11', '11-12', '12-12', '13-12', '13-13', '14-13', '14-14', '15-14', '15-15', '15-16', '16-16', '16-17', '17-17', '17-18', '18-18', '19-18', '19-19', '19-20', '20-20', '20-21', '21-21', '21-22', '22-22', '22-23', '23-23', '23-24', '24-24', '25-24', '25-25', '25-26', '26-26', '26-27', '26-28']",5.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '14-11', '15-11', '16-11', '17-11', '17-12', '18-12', '18-13', '18-14', '19-14', '19-15', '20-15', '20-16', '21-16']",22,20,26,28,21,16,1,2,1,11-9,9-11,11-10,1,2,1
12,1,3,21-17,19-21,21-18,"Supak Jomkoh, Pakin Kuna-Anuvit","Jacco Arends, Jacco Arends",6,5,3,1,5,3,2,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '11-10', '12-10', '12-11', '13-11', '14-11', '14-12', '14-13', '14-14', '15-14', '15-15', '15-16', '16-16', '17-16', '18-16', '19-16', '20-16', '20-17', '21-17']",3.0,5.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '8-6', '9-6', '9-7', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '14-11', '14-12', '15-12', '16-12', '16-13', '17-13', '17-14', '17-15', '18-15', '18-16', '19-16', '19-17', '19-18', '19-19', '19-20', '19-21']",6.0,4.0,1.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '6-9', '7-9', '7-10', '8-10', '9-10', '9-11', '9-12', '9-13', '9-14', '10-14', '11-14', '11-15', '12-15', '13-15', '13-16', '14-16', '14-17', '15-17', '15-18', '16-18', '17-18', '18-18', '19-18', '20-18', '21-18']",21,17,19,21,21,18,1,2,1,11-10,11-8,9-11,1,1,2
13,2,3,17-21,21-12,18-21,"Kittinupong Kedren, Dechapol Puavaranukroh","Mahiro Kaneko, Mahiro Kaneko",7,7,2,3,3,7,0,2,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '7-8', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '10-12', '11-12', '12-12', '13-12', '13-13', '14-13', '15-13', '16-13', '16-14', '16-15', '16-16', '16-17', '16-18', '16-19', '16-20', '17-20', '17-21']",7.0,3.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '9-1', '10-1', '10-2', '11-2', '12-2', '12-3', '12-4', '12-5', '13-5', '13-6', '14-6', '15-6', '15-7', '16-7', '16-8', '16-9', '16-10', '17-10', '18-10', '19-10', '19-11', '20-11', '20-12', '21-12']",5.0,4.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '5-7', '6-7', '6-8', '6-9', '6-10', '6-11', '7-11', '7-12', '8-12', '8-13', '9-13', '9-14', '10-14', '10-15', '10-16', '11-16', '11-17', '12-17', '13-17', '13-18', '14-18', '15-18', '16-18', '17-18', '18-18', '18-19', '18-20', '18-21']",17,21,21,12,18,21,2,1,2,10-11,11-2,6-11,2,1,2
14,1,3,16-21,21-13,21-17,"Wai Lok Lam, Kuen Hon Li","Wirawan Ihsan Adam, Wirawan Ihsan Adam",6,8,6,2,4,8,0,2,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '5-11', '6-11', '6-12', '6-13', '7-13', '8-13', '9-13', '10-13', '10-14', '10-15', '11-15', '11-16', '12-16', '13-16', '13-17', '13-18', '14-18', '15-18', '15-19', '15-20', '16-20', '16-21']",6.0,2.0,3.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '9-8', '10-8', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '20-12', '20-13', '21-13']",3.0,3.0,3.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '13-8', '13-9', '13-10', '13-11', '14-11', '14-12', '15-12', '16-12', '16-13', '17-13', '18-13', '18-14', '18-15', '19-15', '20-15', '20-16', '20-17', '21-17']",16,21,21,13,21,17,2,1,1,5-11,11-8,11-7,2,1,1
15,2,2,6-21,16-21,0-0,"Kapil Chaudhary, Brijesh Yadav","V Shem Goh, V Shem Goh",2,7,0,4,1,7,0,2,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '1-7', '1-8', '1-9', '1-10', '1-11', '1-12', '1-13', '2-13', '2-14', '3-14', '3-15', '3-16', '3-17', '3-18', '4-18', '4-19', '5-19', '5-20', '6-20', '6-21']",2.0,3.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '4-6', '4-7', '5-7', '5-8', '6-8', '6-9', '6-10', '7-10', '8-10', '8-11', '9-11', '9-12', '9-13', '10-13', '11-13', '11-14', '12-14', '13-14', '13-15', '13-16', '13-17', '14-17', '14-18', '14-19', '15-19', '15-20', '16-20', '16-21']",0.0,0.0,0.0,0.0,[],6,21,16,21,0,0,1,2,2,1-11,8-11,0-0,2,2,0
16,1,2,21-19,21-16,0-0,"Wachirawit Sothon, Natthapat Trinkajee","Weeraphat Phakjarung, Weeraphat Phakjarung",5,4,2,0,4,3,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '7-6', '7-7', '8-7', '8-8', '8-9', '8-10', '9-10', '9-11', '10-11', '11-11', '11-12', '12-12', '13-12', '14-12', '15-12', '15-13', '15-14', '15-15', '16-15', '16-16', '16-17', '17-17', '18-17', '18-18', '19-18', '19-19', '20-19', '21-19']",4.0,4.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '14-13', '14-14', '15-14', '15-15', '16-15', '17-15', '18-15', '19-15', '19-16', '20-16', '21-16']",0.0,0.0,0.0,0.0,[],21,19,21,16,0,0,1,1,2,9-11,11-9,0-0,2,1,0
17,1,3,19-21,21-17,21-15,"Tinn Isriyanet, Kittisak Namdash","Kah Ming Chooi, Kah Ming Chooi",4,4,3,1,4,4,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '7-7', '8-7', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '12-10', '12-11', '12-12', '12-13', '13-13', '14-13', '14-14', '15-14', '15-15', '15-16', '16-16', '16-17', '16-18', '17-18', '18-18', '18-19', '19-19', '19-20', '19-21']",3.0,3.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '10-7', '11-7', '12-7', '12-8', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '16-11', '16-12', '17-12', '18-12', '18-13', '18-14', '19-14', '19-15', '19-16', '20-16', '20-17', '21-17']",4.0,3.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '4-6', '4-7', '4-8', '5-8', '6-8', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '14-12', '15-12', '16-12', '16-13', '17-13', '17-14', '18-14', '19-14', '19-15', '20-15', '21-15']",19,21,21,17,21,15,2,1,1,11-9,11-7,11-10,1,1,1
18,2,2,9-21,4-21,0-0,"Arkornnit Thaptimdong, Thawornwong Tossapol","Hee Chun Mak, Hee Chun Mak",2,9,0,3,2,6,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '2-9', '3-9', '3-10', '3-11', '4-11', '5-11', '5-12', '5-13', '5-14', '5-15', '6-15', '6-16', '7-16', '8-16', '8-17', '8-18', '8-19', '8-20', '9-20', '9-21']",2.0,9.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '3-12', '3-13', '3-14', '4-14', '4-15', '4-16', '4-17', '4-18', '4-19', '4-20', '4-21']",0.0,0.0,0.0,0.0,[],9,21,4,21,0,0,1,1,2,3-11,3-11,0-0,2,2,0
19,2,3,21-23,21-18,17-21,"Sze Fei Goh, Nur Izzuddin","Fajar Alfian, Fajar Alfian",4,5,1,7,4,4,0,4,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '4-2', '4-3', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '11-9', '12-9', '12-10', '13-10', '14-10', '14-11', '14-12', '14-13', '15-13', '15-14', '15-15', '15-16', '16-16', '16-17', '16-18', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '20-21', '21-21', '21-22', '21-23']",3.0,3.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '3-5', '3-6', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '7-9', '7-10', '8-10', '9-10', '9-11', '10-11', '10-12', '10-13', '11-13', '12-13', '13-13', '13-14', '13-15', '14-15', '15-15', '15-16', '16-16', '17-16', '17-17', '18-17', '19-17', '19-18', '20-18', '21-18']",4.0,5.0,0.0,3.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '4-7', '4-8', '5-8', '6-8', '6-9', '7-9', '7-10', '8-10', '8-11', '9-11', '10-11', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '12-16', '13-16', '14-16', '14-17', '14-18', '14-19', '15-19', '15-20', '16-20', '17-20', '17-21']",21,23,21,18,17,21,2,1,2,11-9,9-11,8-11,1,2,2
